Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,,OLD BEST,, New Model Best RMSE Value,WA,,NEW BEST,,DIFF,ALL BEST,,BEST ML,ALL BEST ML,,,,LR,KNN,NN,RF,SVR,POLY,WA,,LR Best,KNN best,NN best,RF best,SVR best,POLY best,WA best
2,54, NN, SVR,265.1783388,60.57230072,189.897231,61.89961344,2,0,0,51.11111111,62.22222222,,,,189.897231,,265.1783388,435.9555788,,265.1783388,,-75.28110785,189.897231,, NN,OLD,,,, , ,265.1783388, , , , ,, , , , , , , 
2,55, KNN, SVR,493.1166225,152.5101512,503.4867426,183.3118327,0,0,0,52.17391304,63.04347826,,,,503.4867426,,493.1166225,804.4427056,,493.1166225,,10.3701201,493.1166225,, KNN, KNN,,,, ,493.1166225, , , , , ,, ,493.1166225, , , , , 
2,56, KNN, SVR,1263.177417,291.1266007,682.9077537,224.4495117,10,5,3,51.06382979,61.70212766,,,,682.9077537,,1263.177417,1084.120826,,1084.120826,,-401.2130727,682.9077537,,WA,OLD,,,, , , , , , ,1084.120826,, , , , , , , 
2,57, LR, KNN,476.2487802,165.3496115,631.8196209,169.0649414,0,0,0,52.08333333,62.5,,,,631.8196209,,476.2487802,745.9486131,,476.2487802,,155.5708407,476.2487802,, LR, LR,,,,476.2487802, , , , , , ,,476.2487802, , , , , , 
2,58, KNN, KNN,430.7550669,120.2682773,435.4172137,118.5197428,0,1,0,53.06122449,61.2244898,,,,435.4172137,,430.7550669,360.7109762,,360.7109762,,74.70623754,360.7109762,,WA,WA,,,, , , , , , ,360.7109762,, , , , , , ,360.7109762
2,59, NN, SVR,45.56834131,10.93294789,41.17112408,11.82706197,2,0,0,52,62,,,,41.17112408,,45.56834131,245.6134473,,45.56834131,,-4.397217221,41.17112408,, NN,OLD,,,, , ,45.56834131, , , , ,, , , , , , , 
2,60, SVR, KNN,0.69565662,0.089979998,8.887787882,2.11168836,0,0,0,52.94117647,62.74509804,,,,8.887787882,,0.69565662,177.3142591,,0.69565662,,8.192131262,0.69565662,, SVR, SVR,,,, , , , ,0.69565662, , ,, , , , ,0.69565662, , 
3,27, KNN, SVR,23.67387679,5.759588959,255.0026307,95.63138835,0,0,0,53.84615385,63.46153846,,,,255.0026307,,23.67387679,395.0262112,,23.67387679,,231.3287539,23.67387679,, KNN, KNN,,,, ,23.67387679, , , , , ,, ,23.67387679, , , , , 
3,28, KNN, KNN,371.3422406,109.9109955,310.0406694,146.8827148,4,0,0,52.83018868,64.1509434,,,,310.0406694,,371.3422406,394.0980692,,371.3422406,,-61.30157123,310.0406694,, KNN,OLD,,,, ,371.3422406, , , , , ,, , , , , , , 
3,29, LR, LR,960.0996334,449.1829672,737.3646045,513.5987305,1,0,0,51.85185185,64.81481481,,,,737.3646045,,960.0996334,1084.452857,,960.0996334,,-222.7350288,737.3646045,, LR,OLD,,,,960.0996334, , , , , , ,, , , , , , , 
3,30, KNN, KNN,968.6229145,382.4820009,773.3924403,349.3424805,4,3,3,50.90909091,63.63636364,,,,773.3924403,,968.6229145,888.9415429,,888.9415429,,-115.5491026,773.3924403,,WA,OLD,,,, , , , , , ,888.9415429,, , , , , , , 
3,31, KNN, KNN,559.5280259,188.8513371,473.2127429,154.9811198,4,3,3,50,62.5,,,,473.2127429,,559.5280259,540.4783067,,540.4783067,,-67.26556383,473.2127429,,WA,OLD,,,, , , , , , ,540.4783067,, , , , , , , 
3,32, KNN, KNN,470.9977962,114.0614348,292.1481787,101.2817952,4,3,3,49.12280702,61.40350877,,,,292.1481787,,470.9977962,399.450435,,399.450435,,-107.3022562,292.1481787,,WA,OLD,,,, , , , , , ,399.450435,, , , , , , , 
3,33, KNN, KNN,349.2268494,89.32822772,273.979105,75.04710286,3,3,3,48.27586207,60.34482759,,,,273.979105,,349.2268494,643.2828305,,349.2268494,,-75.24774437,273.979105,, KNN,OLD,,,, ,349.2268494, , , , , ,, , , , , , , 
3,34, KNN, KNN,613.1400402,121.214385,568.0094483,112.5082113,5,3,3,47.45762712,59.3220339,,,,568.0094483,,613.1400402,640.0414049,,613.1400402,,-45.13059192,568.0094483,, KNN,OLD,,,, ,613.1400402, , , , , ,, , , , , , , 
