Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw,OLD BEST,, New Model Best RMSE Value,WA,,NEW BEST,,DIFF,,,,,,,,
1,56,2930.696936,2222.379626,2511.143272,1799.92185,1997.57493,2227.216738,1213.243367,1653.823691,1863.176785,1768.611659,1611.171698,1830.461435,1220.268823,1689.146767,1318.375971,1379.334864,1519.374345,1697.02689,953.633892,1263.067325,1640.963701,1111.257546,1382.710575,1174.225191,953.633892,,312.5104737,1467.931924,,312.5104737,,641.1234183,,,224.7200328,,153.7395078,,,
1,57,1598.227351,1045.494779,808.2714066,1012.808109,1289.900513,1005.790899,667.5267286,755.8888543,699.8009955,927.6179889,791.4196358,1716.982469,1326.11915,1096.092332,1099.395652,963.0498776,734.3316689,839.8868178,696.0312493,568.2371864,1096.007421,634.1991801,656.0087398,903.7895035,568.2371864,,729.2569027,591.5277114,,591.5277114,,-23.29052499,,,358.1069945,,469.3800626,,,
1,58,1277.278826,1269.006541,1200.44625,1233.33418,1047.053326,1341.984898,1027.974189,1559.979333,643.9133482,1007.878366,708.8803848,944.8099985,588.4280188,1054.685071,1159.827171,1153.730067,597.7282828,962.8438433,859.8806506,495.2982603,642.7625534,691.1142694,933.8679064,1355.421755,495.2982603,,703.8978167,678.6231649,,678.6231649,,-183.3249046,,,,,,,,
1,59,1033.350279,729.9196759,1303.901786,773.2433425,452.2323518,1538.048287,1041.499016,1732.09173,932.576038,812.9163959,351.2940791,1119.428962,589.5331769,1405.586805,828.7699319,902.5641621,1062.78063,794.125263,179.1146455,351.4646142,959.5618792,623.4709028,1087.276598,908.2523511,179.1146455,,248.9288589,640.8516537,,248.9288589,,-69.81421331,,,,,,,,
1,60,2577.446385,800.1652329,1048.293884,353.3437066,328.7713111,869.7467447,1251.637221,1541.122656,2399.109946,2390.59959,1279.464576,731.8978982,1406.028165,1026.061889,175.4956433,565.0848314,2108.838164,1730.429003,707.9327416,747.9389012,1050.130309,1170.469478,772.8340055,375.0585065,175.4956433,,3.45486434,865.4855524,,3.45486434,,172.040779,,,,,,,,
2,27,929.9047621,672.2364663,774.6856997,601.954954,841.0087197,530.6528369,465.5564413,837.9662046,602.7790917,764.0179317,1202.70269,357.9976024,652.0378312,414.2413749,1065.780278,788.082906,1153.87885,806.0938738,957.182184,823.8140972,436.0533989,436.376443,311.6845494,849.0405958,311.6845494,,10.2105717,529.9589432,,10.2105717,,301.4739777,,,,,,,,
2,28,2595.396643,1940.941765,1853.761006,2036.168035,1677.827882,1485.793077,843.0286274,1451.791886,1278.899996,1944.861058,903.4704201,888.4030617,1485.699027,1436.189217,1084.292457,793.1137791,967.2535,1652.445218,655.4022175,1173.587378,806.158876,1015.673045,934.7182107,1319.259237,655.4022175,,272.6440094,1119.705224,,272.6440094,,382.758208,,,,,,,,
2,29,1322.884122,1677.573327,1341.114412,1548.994168,1280.340111,1148.425241,923.9055868,940.5108824,1144.986929,1394.376898,849.0243342,910.4714164,1039.927786,1230.641892,785.2282471,777.4997106,993.9730714,1609.629108,622.3659427,954.1092879,858.32989,1076.893062,1339.190253,846.7893874,622.3659427,,618.3002006,802.6157237,,618.3002006,,4.065742171,,,,,,,,
2,30,2453.822487,2652.469943,2253.899968,1882.361354,3381.649459,1885.066365,1994.843219,2360.124065,1465.033697,1999.67084,2241.744749,1804.757934,1775.914112,2986.558599,2007.981408,1749.446465,2704.262611,2053.940473,2433.443212,1637.976801,1513.623996,2029.886499,2820.47145,1895.651234,1465.033697,,1182.329837,1603.781199,,1182.329837,,282.7038597,,,,,,,,
2,31,668.9137463,591.0892488,753.5610128,1017.14486,549.4738696,646.0400916,606.4880873,656.8138549,2775.964073,2425.445993,1786.41845,752.8976026,1564.023529,943.5723254,1276.647485,831.2422832,2266.490974,1094.490201,918.1121936,623.1169232,760.0307011,2237.336988,1121.030122,1154.411076,549.4738696,,634.4230634,621.8169345,,621.8169345,,-72.34306491,,,,,,,,
