Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw,OLD BEST,, New Model Best MAE Value,WA,,NEW BEST,,DIFF,,,,,,,,
1,56,799.3538411,622.6816406,707.6183594,455.9578125,674.5405599,707.8685547,354.2832682,377.2004232,441.795638,574.0940104,306.4007487,529.8219401,357.146875,413.9588867,456.4173503,388.3345703,359.7049479,486.9945638,243.4154297,262.4775879,490.8302083,340.2175456,367.7760742,367.0611328,243.4154297,,88.38761964,442.0379557,,88.38761964,,155.02781,,,75.55565171,,49.36477536,,26.19087635,
1,57,463.7079102,472.3806966,296.5921875,391.9340495,442.2505859,438.8661458,242.4526204,196.0099447,296.2747396,424.8497396,191.3018717,458.6725911,324.7032878,393.9386393,343.5015625,242.7552734,321.2579102,357.7313802,176.1405924,177.5228678,349.0096354,181.350765,226.4218913,280.1107747,176.1405924,,205.298961,236.9471517,,205.298961,,-29.15836852,,,133.1413884,,178.9921578,,-45.85076939,
1,58,416.1281901,438.5440755,408.2214844,393.5054362,376.9700521,451.1745117,338.2467448,342.1666341,249.7214518,420.3693359,184.0023438,269.2922526,181.0996582,364.6332682,334.4344401,310.391276,243.5494792,343.5703451,226.0460124,110.9251628,206.6594076,220.0742839,272.5637044,396.0624674,110.9251628,,220.4434681,251.8026204,,220.4434681,,-109.5183054,,,,,,,,
1,59,271.0251953,272.3128255,372.0109049,239.8335124,147.4804525,478.6357747,284.1972656,408.8032552,273.8562174,267.0199707,86.30262858,376.9092773,185.5284831,397.049707,192.2626302,250.109668,311.6457682,221.8722493,47.35087077,85.96657715,278.6862956,199.520638,294.8316081,224.4428548,47.35087077,,52.83223947,208.1823259,,52.83223947,,-5.481368705,,,,,,,,
1,60,562.0492188,232.4189616,267.6735352,136.1217204,131.4724691,278.7053711,312.512207,417.1802734,706.7282552,741.6434245,226.2941081,185.0215007,368.5748698,246.0008138,44.92242025,155.3308594,598.655013,510.9341471,129.6767578,160.2252279,270.3463867,279.1208333,188.9395345,88.00169271,44.92242025,,0.44757668,260.0508654,,0.44757668,,44.47484357,,,,,,,,
2,27,321.0827799,302.4900716,299.0028971,312.348763,355.591569,222.679362,213.7617676,270.8141764,247.087679,325.1790365,252.9409831,128.0208171,230.3453776,214.3489421,356.5288411,253.8400391,434.863444,307.0330078,245.0292318,247.6501465,183.4075684,181.8130046,150.1998372,305.847168,128.0208171,,1.637476669,287.5606011,,1.637476669,,126.3833404,,,,,,,,
2,28,885.7039063,731.3225911,571.4991536,796.2929688,589.7036458,514.983138,308.1140625,463.4767253,476.1483724,694.8749349,285.7639323,374.4777018,454.6243815,539.4311849,356.4681641,327.8211263,402.2710938,533.8724935,276.7841797,397.026888,383.841862,319.7954427,364.697168,428.5228516,276.7841797,,84.70297863,454.6859581,,84.70297863,,192.0812011,,,,,,,,
2,29,695.8287109,766.1722656,662.5451823,740.122526,601.3279948,593.1292318,423.0110026,437.8750977,555.6110026,650.3544922,316.4118164,441.3955404,450.7925456,579.6431641,395.3149089,436.6302734,499.1277995,638.2889323,340.8420898,465.4859701,396.7121094,508.6649089,559.616276,425.5223633,316.4118164,,292.506362,419.173763,,292.506362,,23.90545438,,,,,,,,
2,30,900.6539063,904.4292969,974.7341146,826.541276,1412.154948,768.0896484,760.8923828,835.6759115,697.4509115,956.2942057,839.7503255,795.2607422,773.8617839,1113.730339,872.1301432,824.5614583,1215.381901,850.4745443,1069.847396,685.8565104,707.548763,846.1126953,986.0410156,907.1238281,685.8565104,,535.422683,737.5974609,,535.422683,,150.4338274,,,,,,,,
2,31,288.7722331,264.339388,355.5192708,438.0304362,251.4753743,299.7357422,252.0791829,288.639974,877.1945964,622.2277344,581.0829427,341.230599,471.510612,385.1424805,396.7692708,352.1601563,597.8423828,452.8310872,392.5583333,257.3685547,336.1909505,536.320638,451.6041341,400.1625977,251.4753743,,246.4758937,289.4933268,,246.4758937,,4.999480638,,,,,,,,
2,32,372.6470378,391.9257813,335.7212565,417.5620768,325.8347331,340.5374023,290.4562174,188.8535645,535.8356445,355.3024414,458.8876953,264.3420573,333.786556,250.5517904,255.6164551,199.7201986,404.9679362,267.3627441,323.1789063,262.3894043,241.5204102,243.9236491,250.6060221,222.2519368,188.8535645,,268.5454948,270.3566569,,268.5454948,,-79.69193038,,,,,,,,
2,33,356.2441732,241.718099,238.2122884,246.3630371,246.8437337,284.9951823,185.9554688,223.3698242,394.793457,192.7194661,313.2019857,189.2285482,175.6288411,349.1255859,191.9878581,202.7021484,496.1007487,249.4451497,267.1127116,243.7458333,195.1844401,192.5246094,239.2659505,185.0463216,175.6288411,,169.9714982,235.0424316,,169.9714982,,5.657342988,,,,,,,,
