Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,
6,49, NN, SVR,19.29911852,3.817512051,12.03700512,5.591553243,1,0,0,54.33526012,70.52023121,,,
6,50, LR, SVR,121.7912366,35.81185049,66.11231762,18.20935669,3,9,3,54.02298851,70.11494253,,,
6,51, KNN, SVR,36.46431402,8.508102964,38.04799087,8.68020223,0,0,0,54.28571429,70.28571429,,,
6,52, NN, SVR,64.80174791,11.33064128,125.4853743,35.63572591,0,0,0,54.54545455,70.45454545,,,
6,53, KNN, SVR,51.68957247,21.70210046,97.45604779,31.16342773,0,0,0,54.80225989,70.62146893,,,
6,54, KNN, SVR,201.3145018,104.0359389,353.4954267,131.0222738,0,0,0,55.05617978,70.78651685,,,
6,55, KNN, KNN,413.6963839,156.0758867,787.6770489,267.6548991,0,0,0,55.30726257,70.94972067,,,
6,56, NN, SVR,26.39531287,6.753374708,32.89472832,12.22122091,0,0,0,55.55555556,71.11111111,,,
6,57, NN, SVR,17.705654,5.661330869,17.67426349,6.019286601,1,0,0,55.24861878,71.27071823,,,
6,58, SVR, SVR,4.679562784,1.403998107,5.869422289,2.295534515,0,0,0,55.49450549,71.42857143,,,
6,59, SVR, SVR,1.989521518,0.829180738,6.40513011,2.381356557,0,0,0,55.73770492,71.58469945,,,
6,60, SVR, SVR,0.162795037,0.162795037,7.73523459,2.360144552,0,0,0,55.97826087,71.73913043,,,
6,61, RF, RF,0,0,6.877238035,2.810053762,0,0,0,56.21621622,71.89189189,,,
6,62, RF, RF,0,0,25.93019601,8.528918457,0,0,0,56.4516129,72.04301075,,,
7,23, RF, RF,0,0,183.214543,50.25117188,0,0,0,56.68449198,72.19251337,,,
7,24, POLY, RF,143.3991198,25.06572756,294.1334023,93.31634115,0,0,0,56.91489362,72.34042553,,,
7,25, KNN, KNN,258.1449282,93.49433346,261.5324948,105.7755452,0,0,0,57.14285714,72.48677249,,,
7,26, KNN, KNN,886.2813944,347.10272,831.4687006,383.6381836,1,0,0,56.84210526,72.63157895,,,
7,27, KNN, KNN,860.6139097,316.106859,698.2399015,419.4439128,1,0,0,56.54450262,72.77486911,,,
7,28, KNN, KNN,881.471899,216.2633641,1374.490403,469.5410156,0,0,0,56.77083333,72.91666667,,,
7,29, RF, KNN,627.611745,179.7820932,726.7046626,234.0797201,0,0,0,56.99481865,73.05699482,,,
7,30, LR, KNN,595.6095992,201.7586623,623.6285754,193.024528,0,1,0,57.21649485,72.68041237,,,
7,31, LR, KNN,611.1692397,167.8434958,497.800981,152.3425293,10,3,3,56.92307692,72.30769231,,,
7,32, LR, LR,404.2071959,135.3795964,375.8463117,132.1056885,2,1,1,56.63265306,71.93877551,,,
7,33, LR, LR,1507.401129,450.404159,399.6359802,134.303361,6,5,5,56.34517766,71.57360406,,,
7,34, KNN, KNN,1280.520521,342.1022886,1221.225396,349.6228516,3,0,0,56.06060606,71.71717172,,,
7,35, KNN, KNN,1507.951798,438.1788426,1483.613247,412.0869466,2,3,1,55.77889447,71.35678392,,,
7,36, KNN, SVR,2021.954036,562.6103569,1348.388075,364.0066732,15,14,12,55.5,71,,,
7,37, NN, SVR,1563.280108,465.4847445,701.6653286,267.6077962,20,14,14,55.2238806,70.64676617,,,
7,38, RF, SVR,1267.192188,458.2688032,950.7440595,338.6085612,14,16,13,54.95049505,70.2970297,,,
7,39, KNN, SVR,2373.365182,777.0337749,1575.244912,528.4894857,14,18,14,54.67980296,69.95073892,,,
7,40, LR, SVR,1127.839979,361.25478,852.6229726,274.0435221,6,6,4,54.41176471,69.60784314,,,
7,41, KNN, RF,273.2953715,84.84380277,231.2575224,89.82426758,1,0,0,54.14634146,69.75609756,,,
7,42, KNN, KNN,444.1307162,119.6650397,420.9964568,119.8045085,7,0,0,53.88349515,69.90291262,,,
7,43, LR, LR,187.7067636,79.58195494,435.1392114,111.5729492,0,0,0,54.10628019,70.04830918,,,
7,44, KNN, KNN,140.745561,58.20557104,181.881406,56.58876139,0,3,0,54.32692308,69.71153846,,,
7,45, LR, SVR,319.863466,77.05943192,252.4666727,74.67607422,6,2,2,54.06698565,69.37799043,,,
7,46, KNN, KNN,274.6171948,73.19655019,277.5591979,72.59145508,0,1,0,54.28571429,69.04761905,,,
7,47, KNN, KNN,119.9161996,30.11683892,160.4334948,36.25561117,0,0,0,54.50236967,69.1943128,,,
7,48, KNN, SVR,56.77704784,19.44992001,66.59010969,21.80258382,0,0,0,54.71698113,69.33962264,,,
7,49, NN, SVR,37.64208742,12.2834698,41.40927269,13.82974548,0,0,0,54.92957746,69.48356808,,,
7,50, KNN, KNN,57.43688474,18.92619148,50.64388537,16.29073283,2,2,2,54.6728972,69.1588785,,,
7,51, KNN, KNN,35.93178059,10.7060391,31.11721686,7.479515076,3,3,3,54.41860465,68.8372093,,,
7,52, KNN, SVR,68.40426508,13.14757255,34.58874456,9.21354777,4,2,2,54.16666667,68.51851852,,,
7,53, KNN, SVR,220.6415621,40.68948719,94.39119729,43.5093099,8,0,0,53.91705069,68.66359447,,,
