Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,difference_of_RMSE,difference_of_MAE,,,,,,,,,,,
2,62, LR, LR,0,0,314.0935535,62.00320409,0,0,0,88.97637795,84.2519685,314.0935535,62.00320409,,,,,,,,,,,
2,63, LR, LR,0,0,698.1339653,112.8126966,0,0,0,89.0625,84.375,698.1339653,112.8126966,,,,,,,,,,,
2,64, LR, LR,0,0,733.9077628,126.2385342,0,0,0,89.14728682,84.49612403,733.9077628,126.2385342,,,,,,,,,,,
2,65, LR, LR,0,0,530.7311257,90.68771159,0,0,0,89.23076923,84.61538462,530.7311257,90.68771159,,,,,,,,,,,
3,1, LR, LR,0,0,3.399589629,1.338547234,0,0,0,89.3129771,84.73282443,3.399589629,1.338547234,,,,,,,,,,,
3,2, LR, LR,0,0,9.940140667,3.238855864,0,0,0,89.39393939,84.84848485,9.940140667,3.238855864,,,,,,,,,,,
3,3, LR, LR,0,0,6.136175863,2.567257743,0,0,0,89.47368421,84.96240602,6.136175863,2.567257743,,,,,,,,,,,
3,4, LR, LR,0,0,9.510088052,2.553667396,0,0,0,89.55223881,85.07462687,9.510088052,2.553667396,,,,,,,,,,,
3,5, LR, LR,0,0,4.270242248,1.434105332,0,0,0,89.62962963,85.18518519,4.270242248,1.434105332,,,,,,,,,,,
3,6, LR, LR,0,0,4.146773851,1.353943327,0,0,0,89.70588235,85.29411765,4.146773851,1.353943327,,,,,,,,,,,
3,7, LR, LR,0,0,2.850076358,1.363675449,0,0,0,89.7810219,85.40145985,2.850076358,1.363675449,,,,,,,,,,,
3,8, LR, LR,0,0,2.277771915,0.869482444,0,0,0,89.85507246,85.50724638,2.277771915,0.869482444,,,,,,,,,,,
3,9, LR, LR,0,0,1.468533853,0.477604234,0,0,0,89.92805755,85.61151079,1.468533853,0.477604234,,,,,,,,,,,
3,10, LR, LR,0,0,0.914269703,0.224733353,0,0,0,90,85.71428571,0.914269703,0.224733353,,,,,,,,,,,
3,11, LR, LR,0,0,0.919702461,0.223304937,0,0,0,90.07092199,85.81560284,0.919702461,0.223304937,,,,,,,,,,,
3,12, LR, LR,0,0,1.402634713,0.098226786,0,0,0,90.14084507,85.91549296,1.402634713,0.098226786,,,,,,,,,,,
3,13, LR, LR,0,0,2.843636207,0.355664783,0,0,0,90.20979021,86.01398601,2.843636207,0.355664783,,,,,,,,,,,
3,14, LR, LR,0,0,1.636787271,0.075513951,0,0,0,90.27777778,86.11111111,1.636787271,0.075513951,,,,,,,,,,,
3,15, LR, LR,0,0,0.368869766,0.021896875,0,0,0,90.34482759,86.20689655,0.368869766,0.021896875,,,,,,,,,,,
3,16, LR, LR,0,0,0.519006909,0.00132,0,0,0,90.4109589,86.30136986,0.519006909,0.00132,,,,,,,,,,,
3,17, LR, LR,0,0,2.388277727,0.256303132,0,0,0,90.47619048,86.39455782,2.388277727,0.256303132,,,,,,,,,,,
3,18, LR, LR,0,0,3.467199146,0.303673694,0,0,0,90.54054054,86.48648649,3.467199146,0.303673694,,,,,,,,,,,
3,19, LR, LR,0,0,12.78031345,3.0145401,0,0,0,90.60402685,86.57718121,12.78031345,3.0145401,,,,,,,,,,,
3,20, LR, LR,0,0,211.5283078,49.92434998,0,0,0,90.66666667,86.66666667,211.5283078,49.92434998,,,,,,,,,,,
3,21, LR, LR,0,0,398.4362887,115.1566098,0,0,0,90.72847682,86.75496689,398.4362887,115.1566098,,,,,,,,,,,
3,22, LR, LR,0,0,160.8015275,37.40996636,0,0,0,90.78947368,86.84210526,160.8015275,37.40996636,,,,,,,,,,,
3,23, LR, LR,0,0,303.077294,63.70217716,0,0,0,90.8496732,86.92810458,303.077294,63.70217716,,,,,,,,,,,
3,24, LR, LR,0,0,292.7685851,88.42851896,0,0,0,90.90909091,87.01298701,292.7685851,88.42851896,,,,,,,,,,,
3,25, LR, LR,0,0,279.9694818,90.4094122,0,0,0,90.96774194,87.09677419,279.9694818,90.4094122,,,,,,,,,,,
3,26, LR, LR,0,0,297.1846593,80.18360866,0,0,0,91.02564103,87.17948718,297.1846593,80.18360866,,,,,,,,,,,
3,27, LR, LR,9.739530586,6.103634868,356.4161722,128.6530208,0,0,0,91.08280255,87.2611465,346.6766416,122.549386,,,,,,,,,,,
3,28, LR, LR,146.6711271,85.93708673,558.2022905,194.0371094,0,0,0,91.13924051,87.34177215,411.5311634,108.1000226,,,,,,,,,,,
3,29, LR, LR,693.4917557,382.0443416,1022.338726,463.7121119,0,0,0,91.19496855,87.42138365,328.8469703,81.66777028,,,,,,,,,,,
3,30, LR, LR,839.2816558,391.7972916,864.7525702,373.1988088,0,1,0,91.25,86.875,25.4709144,-18.59848279,,,,,,,,,,,
3,31, LR, LR,634.2733361,188.3950715,605.5020499,178.6583084,2,1,1,90.68322981,86.33540373,-28.77128626,-9.736763097,,,,,,,,,,,
3,32, LR, LR,1165.050425,208.6602858,902.2366745,153.3152939,15,8,8,90.12345679,85.80246914,-262.8137507,-55.34499197,,,,,,,,,,,
3,33, LR, LR,279.4920679,158.6307481,1308.840513,246.1621875,0,0,0,90.18404908,85.88957055,1029.348445,87.53143936,,,,,,,,,,,
3,34, LR, LR,1136.203652,266.3098482,863.5862625,204.2350629,2,8,2,89.63414634,85.36585366,-272.6173892,-62.07478527,,,,,,,,,,,
3,35, LR, LR,437.0371051,136.2472362,629.1131789,120.8460938,0,2,0,89.6969697,84.84848485,192.0760738,-15.40114242,,,,,,,,,,,
3,36, LR, LR,239.7937135,90.91095417,206.214119,64.65930436,8,11,5,89.15662651,84.3373494,-33.5795945,-26.25164982,,,,,,,,,,,
3,37, LR, LR,100.2391169,76.22329987,98.32608457,36.52058321,1,14,1,88.62275449,83.83233533,-1.913032284,-39.70271667,,,,,,,,,,,
3,38, LR, LR,96.44121535,94.70214581,61.55358203,18.14964012,5,20,5,88.0952381,83.33333333,-34.88763333,-76.55250569,,,,,,,,,,,
3,39, LR, LR,10.76368361,10.49682209,56.11916368,9.968319363,0,1,0,88.16568047,82.84023669,45.35548007,-0.528502724,,,,,,,,,,,
3,40, LR, LR,0,0,116.7204935,15.33372009,0,0,0,88.23529412,82.94117647,116.7204935,15.33372009,,,,,,,,,,,
3,41, LR, LR,0,0,36.00672237,5.681036502,0,0,0,88.30409357,83.04093567,36.00672237,5.681036502,,,,,,,,,,,
3,42, LR, LR,0,0,117.5421774,20.8683532,0,0,0,88.37209302,83.13953488,117.5421774,20.8683532,,,,,,,,,,,
3,43, LR, LR,0,0,222.8556288,38.08268874,0,0,0,88.43930636,83.23699422,222.8556288,38.08268874,,,,,,,,,,,
3,44, LR, LR,0,0,232.1129125,37.20460205,0,0,0,88.50574713,83.33333333,232.1129125,37.20460205,,,,,,,,,,,
3,45, LR, LR,0,0,179.0134527,36.97736026,0,0,0,88.57142857,83.42857143,179.0134527,36.97736026,,,,,,,,,,,
3,46, LR, LR,0,0,116.5044745,34.2857436,0,0,0,88.63636364,83.52272727,116.5044745,34.2857436,,,,,,,,,,,
3,47, LR, LR,0,0,114.1328778,19.86914063,0,0,0,88.70056497,83.61581921,114.1328778,19.86914063,,,,,,,,,,,
3,48, LR, LR,196.068188,25.83432522,193.0800956,67.42524458,1,0,0,88.20224719,83.70786517,-2.988092403,41.59091936,,,,,,,,,,,
3,49, LR, LR,55.19647456,17.65959111,488.7706863,104.0384423,0,0,0,88.26815642,83.79888268,433.5742117,86.37885114,,,,,,,,,,,
3,50, LR, LR,540.8293337,107.1658841,307.6433886,86.53371043,1,1,1,87.77777778,83.33333333,-233.1859452,-20.63217369,,,,,,,,,,,
3,51, LR, LR,1754.348215,325.6216015,733.2022601,173.2691183,18,13,13,87.29281768,82.87292818,-1021.145954,-152.3524832,,,,,,,,,,,
3,52, LR, LR,154.376924,50.16608627,524.0039186,119.6429427,0,0,0,87.36263736,82.96703297,369.6269945,69.47685644,,,,,,,,,,,
3,53, LR, LR,263.4913153,77.13553004,464.6125749,141.1934928,0,0,0,87.43169399,83.06010929,201.1212596,64.05796278,,,,,,,,,,,
