Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
2, 32, KNN, RF, 509.93297405574015, 184.7367825196435, 1038.2098594360466, 316.47642198741005, 100.0, 100.0
2, 33, KNN, SVR, 230.57869901693093, 77.84721181116797, 1834.5079721821871, 418.30841064453125, 100.0, 100.0
2, 34, NN, SVR, 102.3786284030189, 19.23080619915943, 1537.644120074603, 306.16921875, 100.0, 100.0
2, 35, LR, LR, 512.8668518377738, 132.7392401511461, 1371.0194746975694, 317.60322265625, 100.0, 100.0
2, 36, KNN, KNN, 122.30989153313465, 44.805924556156, 350.0710062283213, 98.30931156517093, 100.0, 100.0
2, 37, KNN, NN, 135.06306472983795, 38.06249783094142, 249.8822401223653, 64.90910993303571, 100.0, 100.0
2, 38, NN, NN, 20.806653634406874, 10.569635273434928, 269.4603581519638, 60.95569786658654, 100.0, 100.0
2, 40, LR, LR, 0.0, 0.0, 13.214347970535377, 3.161087229282041, 100.0, 100.0
2, 41, LR, LR, 0.0, 0.0, 17.190691503443198, 3.4401690508868237, 100.0, 100.0
2, 42, LR, LR, 0.0, 0.0, 38.34216033040936, 7.203095771897007, 100.0, 100.0
2, 43, LR, LR, 0.0, 0.0, 57.31209105633819, 10.183222961425779, 100.0, 100.0
2, 44, LR, LR, 0.0, 0.0, 108.14615111043018, 20.508513997395834, 100.0, 100.0
2, 45, LR, LR, 0.0, 0.0, 119.20163951975464, 10.175463264371142, 100.0, 100.0
2, 46, LR, LR, 0.0, 0.0, 145.3360903790475, 5.168032497829861, 100.0, 100.0
2, 47, LR, LR, 0.0, 0.0, 120.5115521870261, 4.0138084010074015, 100.0, 100.0
2, 48, KNN, KNN, 2.71442856427631, 0.35077047366205427, 155.99871460474708, 15.70402272542318, 100.0, 100.0
2, 49, NN, KNN, 23.78507782040788, 3.5133217175801597, 460.4760683507988, 64.1716796875, 100.0, 100.0
2, 50, KNN, SVR, 7.57822906021838, 1.1912926635199559, 731.6026504156736, 151.16139322916666, 100.0, 100.0
2, 51, LR, SVR, 229.05407940743177, 64.97861053623825, 998.5209241853854, 260.8123240427928, 100.0, 100.0
2, 52, LR, NN, 442.7071202754327, 158.65149125447604, 1490.453536048429, 453.23989392201827, 100.0, 100.0
2, 53, LR, SVR, 435.6586684282019, 115.11384730538666, 1651.6931599342668, 426.7127543604651, 100.0, 100.0
2, 54, RF, RF, 578.0250112258183, 182.76967248155427, 1098.9790529869574, 374.51107662671234, 100.0, 100.0
2, 55, KNN, KNN, 422.3308139365695, 113.90351023879789, 1165.1637166023006, 400.3587679476352, 100.0, 100.0
2, 56, RF, RF, 1395.433168092086, 328.96968786036604, 1400.7248376901102, 389.25587322695037, 100.0, 100.0
2, 57, KNN, SVR, 569.4314801332329, 100.8684457464042, 1093.8895934910852, 314.24499045801525, 100.0, 100.0
2, 58, LR, KNN, 377.271844512439, 134.17504843586966, 555.9068469943603, 175.32899152728874, 100.0, 100.0
2, 59, RF, SVR, 178.69363310567348, 36.176097311832386, 479.269807045265, 109.71414142765413, 100.0, 100.0
2, 60, KNN, SVR, 36.47179006353243, 9.276790594064254, 343.2346987036138, 66.20740904425182, 100.0, 100.0
2, 61, LR, LR, 0.0, 0.0, 537.6655870190754, 88.21412093996064, 100.0, 100.0
2, 62, LR, LR, 0.0, 0.0, 867.8304125807069, 115.54844665527344, 100.0, 100.0
2, 63, LR, LR, 0.0, 0.0, 721.2075311796898, 134.18599076704547, 100.0, 100.0
2, 64, LR, LR, 0.0, 0.0, 733.9077628125667, 126.23853417266187, 100.0, 100.0
2, 65, LR, LR, 0.0, 0.0, 1235.0957857591452, 90.68771158854166, 100.0, 100.0
3, 1, LR, LR, 0.0, 0.0, 16.518119166197177, 3.4830002557663686, 100.0, 100.0
3, 2, LR, LR, 0.0, 0.0, 22.217803143316207, 5.226908735795455, 100.0, 100.0
3, 3, LR, LR, 0.0, 0.0, 16.48101629867465, 3.8431286934094553, 100.0, 100.0
3, 4, LR, LR, 0.0, 0.0, 9.516615513929738, 2.5536673964968157, 100.0, 100.0
3, 5, LR, LR, 0.0, 0.0, 5.975999839696428, 1.9429249730603448, 100.0, 100.0
3, 6, LR, LR, 0.0, 0.0, 6.868383064185133, 1.9280568715688344, 100.0, 100.0
3, 7, LR, LR, 0.0, 0.0, 6.7676055087610445, 1.5524209512246618, 100.0, 100.0
3, 8, LR, LR, 0.0, 0.0, 3.0379487321881564, 0.9257969747062856, 100.0, 100.0
3, 9, LR, LR, 0.0, 0.0, 1.4685338529289078, 0.5171274671367571, 100.0, 100.0
3, 10, LR, LR, 0.0, 0.0, 1.3879934990263345, 0.4236268299381907, 100.0, 100.0
3, 11, LR, LR, 0.0, 0.0, 4.5262362492809665, 0.4554507127448694, 100.0, 100.0
3, 12, LR, LR, 0.0, 0.0, 5.630378329870022, 0.3130000187800481, 100.0, 100.0
3, 13, LR, LR, 0.0, 0.0, 6.084350178248867, 1.2143193295127468, 100.0, 100.0
3, 14, LR, LR, 0.0, 0.0, 32.15617050381759, 0.08823823227601893, 100.0, 100.0
3, 15, LR, LR, 0.0, 0.0, 11.559551035230074, nan, 100.0, 100.0
3, 16, LR, LR, 0.0, 0.0, 6.9935767358266565, nan, 100.0, 100.0
3, 17, LR, LR, 0.0, 0.0, 5.543511083845576, 1.35523193359375, 100.0, 100.0
3, 18, LR, LR, 0.0, 0.0, 19.53542598213746, 0.5007399967738559, 100.0, 100.0
3, 19, LR, LR, 0.0, 0.0, 46.747416462794455, 15.462992900126688, 100.0, 100.0
3, 20, LR, LR, 0.0, 0.0, 435.07761759637015, 174.52612847222218, 100.0, 100.0
3, 21, LR, LR, 0.0, 0.0, 673.7677792890985, 253.4088807397959, 100.0, 100.0
3, 22, LR, LR, 0.0, 0.0, 231.6539587483313, 78.86821012676887, 100.0, 100.0
3, 23, LR, LR, 0.0, 0.0, 587.6641525990844, 169.17498779296875, 100.0, 100.0
3, 24, LR, LR, 0.0, 0.0, 1432.5563745395034, 288.29839691558436, 100.0, 100.0
3, 25, LR, LR, 0.0, 0.0, 916.9394745565272, 226.53283110119045, 100.0, 100.0
3, 26, LR, LR, 0.0, 0.0, 651.2683010864263, 168.4757068452381, 100.0, 100.0
3, 27, RF, SVR, 22.28455886913873, 4.3069759715646985, 517.8900140634753, 209.91341145833331, 100.0, 100.0
3, 28, NN, NN, 183.21611198748363, 56.99065065539106, 819.0020304772912, 325.3366898148148, 100.0, 100.0
3, 29, KNN, SVR, 785.9065003593715, 285.4711527867092, 1377.537431722339, 642.0884753184712, 100.0, 100.0
3, 30, KNN, KNN, 1089.809458607369, 428.9838276806331, 1737.6437531754432, 613.3850607014389, 100.0, 100.0
3, 31, LR, SVR, 335.3311526419609, 122.36818137066462, 706.0554103073232, 270.69247159090907, 100.0, 100.0
3, 32, NN, SVR, 337.87524587311896, 99.88503857742916, 952.9381988798399, 190.5696880314626, 100.0, 100.0
3, 33, NN, SVR, 305.1377851737703, 81.99659686672493, 1550.7509621994723, 287.23814073741005, 100.0, 100.0
3, 34, NN, SVR, 151.6551005895876, 27.70380467751388, 1369.3724383819035, 309.107666015625, 100.0, 100.0
3, 35, LR, SVR, 115.97049329639867, 26.10371405098938, 760.1704262355099, 171.93635817307688, 100.0, 100.0
