Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,difference_of_RMSE,difference_of_MAE,,,,,,,,,,,
2,67, LR, LR,0,0,3.315517831,1.28725001,0,0,0,85.87570621,84.74576271,3.315517831,1.28725001,,,,,,,,,,,
2,68, LR, LR,0,0,3.560688793,1.005005146,0,0,0,85.95505618,84.83146067,3.560688793,1.005005146,,,,,,,,,,,
2,69, LR, LR,0,0,5.285057366,1.565964699,0,0,0,86.03351955,84.91620112,5.285057366,1.565964699,,,,,,,,,,,
2,70, LR, LR,0,0,8.051687037,2.454946447,0,0,0,86.11111111,85,8.051687037,2.454946447,,,,,,,,,,,
2,71, LR, LR,0,0,8.71671234,2.394533475,0,0,0,86.1878453,85.08287293,8.71671234,2.394533475,,,,,,,,,,,
2,72, LR, LR,0,0,5.485340349,1.707716624,0,0,0,86.26373626,85.16483516,5.485340349,1.707716624,,,,,,,,,,,
2,73, LR, LR,0,0,2.056452888,0.822062174,0,0,0,86.33879781,85.24590164,2.056452888,0.822062174,,,,,,,,,,,
2,74, LR, LR,0,0,1.657158369,0.767678774,0,0,0,86.41304348,85.32608696,1.657158369,0.767678774,,,,,,,,,,,
2,75, LR, LR,0,0,2.161535972,0.690503822,0,0,0,86.48648649,85.40540541,2.161535972,0.690503822,,,,,,,,,,,
2,76, LR, LR,0,0,3.211615958,1.157335319,0,0,0,86.55913978,85.48387097,3.211615958,1.157335319,,,,,,,,,,,
2,77, LR, LR,0,0,2.999329537,1.214700018,0,0,0,86.63101604,85.56149733,2.999329537,1.214700018,,,,,,,,,,,
2,78, LR, LR,0,0,5.114569982,1.975046507,0,0,0,86.70212766,85.63829787,5.114569982,1.975046507,,,,,,,,,,,
2,79, LR, LR,0,0,11.44333158,4.090328163,0,0,0,86.77248677,85.71428571,11.44333158,4.090328163,,,,,,,,,,,
2,80, LR, LR,0,0,8.639235257,3.11346817,0,0,0,86.84210526,85.78947368,8.639235257,3.11346817,,,,,,,,,,,
2,81, LR, LR,0.003269569,0.001698173,12.24669509,4.312099922,0,0,0,86.91099476,85.86387435,12.24342552,4.310401749,,,,,,,,,,,
2,82, LR, LR,24.79762299,6.764894199,57.78828755,13.39435539,0,0,0,86.97916667,85.9375,32.99066456,6.629461187,,,,,,,,,,,
2,83, LR, LR,38.94357759,12.28076446,175.7342352,34.8200617,0,0,0,87.04663212,86.01036269,136.7906576,22.53929724,,,,,,,,,,,
2,84, LR, LR,16.87620308,8.282492888,131.4214179,30.59911381,0,0,0,87.11340206,86.08247423,114.5452149,22.31662092,,,,,,,,,,,
2,85, LR, LR,137.2384124,40.64653778,288.7544814,101.1100609,0,0,0,87.17948718,86.15384615,151.516069,60.46352314,,,,,,,,,,,
2,86, LR, LR,160.3178323,73.1108747,560.6506837,152.0082682,0,0,0,87.24489796,86.2244898,400.3328515,78.89739352,,,,,,,,,,,
