Place,Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
2458,39,11, NN, SVR,45.99528968,11.55682637,221.575023,89.92377437,100,99.7558991
2459,39,12, KNN, KNN,150.1112542,47.65650808,235.6978155,106.5115079,100,99.75599837
2460,39,13, RF, RF,105.2506753,38.66944474,371.549994,149.6219281,100,99.75609756
2461,39,14, KNN, KNN,142.6332058,49.6425962,429.359948,193.7467448,100,99.75619667
2462,39,15, LR, SVR,148.0449702,64.52253544,322.6979402,170.0450295,100,99.75629569
2463,39,16, KNN, SVR,118.2536502,30.74960486,450.167639,221.1807113,100,99.75639464
2464,39,17, KNN, KNN,194.4927598,52.67062686,419.1203487,186.7889323,100,99.75649351
2465,39,18, LR, RF,134.9336549,40.74152204,468.3900597,243.3817813,100,99.75659229
2466,39,19, KNN, SVR,200.729311,78.07450104,401.1649297,216.0713764,100,99.756691
2467,39,20, KNN, KNN,236.9853201,117.0826472,443.8549091,241.6498943,100,99.75678962
2468,39,21, KNN, KNN,346.0044804,161.0623676,574.5451251,294.7411758,100,99.75688817
2469,39,22, RF, RF,293.6261934,141.8252293,702.8519739,379.8208966,100,99.75698663
2470,39,23, KNN, KNN,195.7824216,99.37707876,586.3486567,351.1080443,100,99.75708502
2471,39,24, KNN, KNN,183.5938826,79.12392311,879.0457125,508.7056066,100,99.75718333
2472,39,25, LR, RF,81.99146539,40.33420871,1312.883917,560.9038799,100,99.75728155
2473,39,26, LR, LR,83.52586597,37.19816896,1040.291489,391.662982,100,99.7573797
2474,39,27, KNN, SVR,91.61694636,19.19303464,656.4466467,232.1369873,100,99.75747777
2475,39,28, KNN, SVR,138.1772128,43.82833687,538.2520587,181.5470831,100,99.75757576
2476,39,29, LR, NN,579.6198069,330.5314428,840.837528,405.3295499,100,99.75767367
2477,39,30, LR, SVR,498.3778824,130.610111,720.7632001,254.6572958,100,99.7577715
2478,39,31, LR, LR,210.4315372,89.46520113,287.751223,128.8743885,100,99.75786925
2479,39,32, NN, SVR,96.6336069,38.08016252,231.636264,105.4628832,100,99.75796692
2480,39,33, KNN, NN,145.1876967,59.86533074,276.8079094,107.7784257,100,99.75806452
2481,39,34, NN, SVR,24.43874104,7.27157093,311.6023106,107.5848487,100,99.75816203
2482,39,35, KNN, SVR,286.0633202,68.07795739,351.0979622,149.1349019,100,99.75825947
2483,39,36, LR, NN,238.5950654,84.10404134,252.452359,102.0672096,100,99.75835683
2484,39,37, KNN, KNN,117.3446911,42.27050355,151.230634,51.97549486,100,99.75845411
2485,39,38, KNN, SVR,150.0071753,54.59768395,241.670582,95.82994307,100,99.75855131
2486,39,39, KNN, SVR,239.3003743,57.17570215,544.8646331,214.7659217,100,99.75864843
2487,39,40, RF, SVR,611.1504835,118.2588519,849.6464194,289.547147,100,99.75874548
2488,39,41, LR, SVR,302.6286319,79.31658956,519.4819282,256.8995169,100,99.75884244
2489,39,42, LR, SVR,56.68608766,17.56361553,514.7117998,246.7921464,100,99.75893933
2490,39,43, RF, RF,14.12160045,3.197038109,347.4210365,176.6634411,100,99.75903614
2491,39,44, RF, RF,14.84958002,5.573317773,535.5494102,187.8421303,100,99.75913288
2492,39,45, RF, RF,273.2085406,91.38356489,747.6768592,306.6727958,100,99.75922953
2493,39,46, LR, LR,655.6949874,260.8804709,833.9199602,350.3402211,100,99.75932611
2494,39,47, KNN, KNN,277.9893995,105.8358942,488.0654664,144.7362791,100,99.75942261
2495,39,48, RF, RF,300.9023716,152.4781089,508.0020669,181.4397949,100,99.75951904
2496,39,49, RF, LR,269.3700253,106.591652,467.9595349,234.0427632,100,99.75961538
2497,39,50, RF, RF,229.3847027,95.57401805,499.8090969,202.1530924,100,99.75971165
2498,39,51, RF, RF,171.3751183,46.70751687,285.9100922,99.25732915,100,99.75980785
2499,39,52, LR, LR,258.3668154,90.78929657,437.064091,160.2590891,100,99.75990396
2500,39,53, NN, SVR,127.7160345,31.4583227,439.5605914,200.2789626,100,99.76
2501,39,54, RF, RF,50.44619568,18.23978753,842.2156379,242.6303181,100,99.76009596
2502,39,55, SVR, SVR,6.179449706,1.275350294,334.410254,143.2823142,100,99.76019185
2503,39,56, LR, LR,251.8533359,89.6808918,441.6113732,176.421875,100,99.76028765
2504,39,57, NN, SVR,117.240695,40.87119317,543.091186,175.0571911,100,99.76038339
2505,39,58, LR, LR,240.1071845,114.3666591,406.5437935,148.0006406,100,99.76047904
2506,39,59, KNN, KNN,167.4735039,54.91541626,371.9110418,152.1676403,100,99.76057462
2507,39,60, RF, LR,154.2209918,69.62529517,349.8082442,160.0983511,100,99.76067012
2508,39,61, LR, RF,326.9249531,107.5066112,740.9224321,297.7283351,100,99.76076555
2509,39,62, RF, RF,151.2346667,56.17562385,705.8761749,333.0710651,100,99.7608609
2510,39,63, LR, LR,642.3512353,272.2217454,654.0907412,270.3675509,100,99.72111554
2511,39,64, RF, KNN,430.0181485,183.1206877,616.0222248,207.7904116,100,99.7212266
2512,39,65, KNN, KNN,130.0218056,52.6571854,1194.69288,313.471347,100,99.72133758
2513,40,1, KNN, KNN,0,0,525.5327795,149.3362059,100,99.72144847
2514,40,2, SVR, SVR,1.198058795,0.248374624,731.1251856,186.9647714,100,99.72155927
2515,40,4, SVR, SVR,27.5021844,4.176479963,259.80931,113.7354711,100,99.72166998
2516,40,5, RF, RF,91.48844187,22.42567762,195.6805503,84.83797743,100,99.7217806
2517,40,6, LR, RF,139.9276119,50.21017449,339.9599016,125.2487444,100,99.72189114
2518,40,7, LR, KNN,206.2404813,65.26362672,342.9167975,105.7226367,100,99.72200159
2519,40,8, RF, RF,219.4889474,98.43874441,351.8112989,219.1769336,100,99.72211195
2520,40,9, SVR, SVR,71.30413858,35.33825466,359.9071825,102.3445508,100,99.72222222
2521,40,10, LR, SVR,96.34823374,39.20695813,513.882847,195.3082386,100,99.72233241
2522,40,11, NN, SVR,18.4881892,5.693550219,542.4470301,210.1398469,100,99.72244251
2523,40,12, RF, RF,53.90342697,22.63000047,215.7161531,101.4263636,100,99.72255252
2524,40,13, RF, RF,226.2669802,70.87584396,372.6969741,149.1848397,100,99.72266244
2525,40,14, RF, RF,74.76323997,33.1547886,400.0101189,178.1511812,100,99.72277228
2526,40,15, LR, LR,202.4031931,84.24876842,390.2891756,192.033844,100,99.72288203
2527,40,16, RF, SVR,41.86318508,13.22001879,590.9667087,236.1598772,100,99.72299169
2528,40,17, RF, RF,68.97036619,12.56314901,675.4785488,301.0984623,100,99.72310127
2529,40,18, RF, SVR,59.17857293,14.5300902,595.0007972,199.0179955,100,99.72321076
2530,40,19, LR, NN,195.2094843,77.72023855,485.7425244,229.8493164,100,99.72332016
2531,40,20, RF, NN,354.4498006,199.9910792,447.5087038,234.1226953,100,99.72342947
2532,40,21, RF, RF,301.4667086,143.5730273,378.4287251,183.7479297,100,99.7235387
2533,40,22, RF, KNN,456.6537788,247.6310595,689.4968793,332.0055356,100,99.72364785
2534,40,23, KNN, SVR,196.4427172,90.03720579,721.0144735,362.3830015,100,99.72375691
2535,40,24, RF, KNN,276.1267293,71.9220854,986.3639705,474.1535846,100,99.72386588
2536,40,25, RF, RF,262.671154,93.00464567,1008.095946,268.9394531,100,99.72397476
2537,40,26, LR, LR,72.09866157,30.60273342,716.4716578,206.1735322,100,99.72408356
2538,40,27, KNN, SVR,178.537015,56.04703724,701.5738785,238.6564317,100,99.72419228
2539,40,28, LR, NN,154.671538,85.42501626,657.4056448,199.9459743,100,99.72430091
2540,40,29, RF, NN,381.4908928,238.9513761,464.6780265,243.2384187,100,99.72440945
2541,40,30, RF, SVR,410.7799087,224.8741985,493.6766179,231.0241834,100,99.72451791
2542,40,31, KNN, KNN,213.735779,99.22433554,346.9022157,149.4939741,100,99.72462628
2543,40,32, RF, RF,153.8407451,76.81934285,362.8725309,150.2332828,100,99.72473457
2544,40,33, KNN, SVR,219.1805361,52.96255605,396.9416257,141.703344,100,99.72484277
2545,40,34, KNN, KNN,158.0872366,54.18713056,385.8294698,151.9832872,100,99.72495088
2546,40,35, NN, NN,160.0686204,45.73270405,419.4301193,195.6576538,100,99.72505892
2547,40,36, RF, RF,179.6812594,70.5198035,229.4930183,121.8715709,100,99.72516686
2548,40,37, LR, KNN,130.4514088,51.93374853,373.2541045,176.3892955,100,99.72527473
2549,40,38, KNN, SVR,169.8022813,66.22184837,229.5653031,121.0984037,100,99.7253825
2550,40,39, RF, SVR,277.8022474,70.5694808,384.9376236,186.2644075,100,99.7254902
2551,40,40, KNN, SVR,84.54156351,29.35482687,357.7456064,195.4307564,100,99.7255978
2552,40,41, KNN, SVR,143.7277182,36.78430637,525.7930214,240.6131742,100,99.72570533
